tweet_id,timestamp,text,expanded_urls,rating_numerator,rating_denominator,name,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorites,followers,dog_stage
892420643555336193,2017-08-01 16:23:56+00:00,this is phineas. he's a mystical boy. only ever appears in the hole of a donut. 13/10,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,phineas,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,orange,0.0970486,False,bagel,0.0858511,False,banana,0.07611,False,32926,9375692,None
892177421306343426,2017-08-01 00:17:27+00:00,"this is tilly. she's just checking pup on you. hopes you're doing ok. if not, she's available for pats, snugs, boops, the whole bit. 13/10",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True,28466,9375692,None
891815181378084864,2017-07-31 00:18:03+00:00,this is archie. he is a rare norwegian pouncing corgo. lives in the tall grass. you never know when one may strike. 12/10,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,21383,9375692,None
891689557279858688,2017-07-30 15:58:51+00:00,this is darla. she commenced a snooze mid meal. 13/10 happens to the best of us,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,paper_towel,0.1702779999999999,False,Labrador_retriever,0.1680859999999999,True,spatula,0.0408359,False,35916,9375692,None
891327558926688256,2017-07-29 16:00:24+00:00,"this is franklin. he would like you to stop calling him ""cute."" he is a very fierce shark and should be respected as such. 12/10 #barkweek","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,0.555712,True,English_springer,0.2257699999999999,True,German_short-haired_pointer,0.175219,True,34332,9375692,None
891087950875897856,2017-07-29 00:08:17+00:00,here we have a majestic great white breaching off south africa's coast. absolutely h*ckin breathtaking. 13/10 (ig: tucker_marlo) #barkweek,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.0769021999999999,False,17278,9375692,None
890971913173991426,2017-07-28 16:27:12+00:00,meet jax. he enjoys ice cream so much he gets nervous around it. 13/10 help jax enjoy more things by clicking below,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.341703,True,Border_collie,0.199287,True,ice_lolly,0.193548,False,10080,9375692,None
890729181411237888,2017-07-28 00:22:40+00:00,when you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,None,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo_dog,0.1784059999999999,True,Pembroke,0.0765069,True,55410,9375692,None
890609185150312448,2017-07-27 16:25:51+00:00,this is zoey. she doesn't want to be one of the scary sharks. just wants to be a snuggly pettable boatpet. 13/10 #barkweek,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,0.4875739999999999,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True,23830,9375692,None
890240255349198849,2017-07-26 15:59:51+00:00,this is cassie. she is a college pup. studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,27192,9375692,doggo
890006608113172480,2017-07-26 00:31:25+00:00,this is koda. he is a south australian deckshark. deceptively deadly. frighteningly majestic. 13/10 would risk a petting #barkweek,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,koda,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True,26317,9375692,None
889880896479866881,2017-07-25 16:11:53+00:00,this is bruno. he is a service shark. only gets out of the water to assist you. 13/10 terrifyingly good boy,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,bruno,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False,23860,9375692,None
889665388333682689,2017-07-25 01:55:32+00:00,here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,None,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Pembroke,0.966327,True,Cardigan,0.0273557,True,basenji,0.00463323,True,40927,9375692,None
